variance,BER_QPSK,BER_QAM16,BER_QAM64
0.001000,0.00000000,0.00000000,0.00000000
0.005000,0.00000000,0.00002000,0.00846034
0.010000,0.00000000,0.00050000,0.03606144
0.020000,0.00000000,0.00951000,0.07989320
0.050000,0.00075000,0.05817000,0.15103604
0.100000,0.01270000,0.11915000,0.21800872
0.200000,0.05639000,0.18798000,0.28380135
0.300000,0.09726000,0.23171000,0.32127285
0.500000,0.15856000,0.28834000,0.36409456
0.800000,0.21457000,0.33324000,0.39155566
1.000000,0.23736000,0.35361000,0.40372615
1.500000,0.27761000,0.38429000,0.42245690
2.000000,0.30696000,0.39975000,0.43522741
3.000000,0.33987000,0.41853000,0.44759790
5.000000,0.37605000,0.44221000,0.46083843
